"order_id","paid_at","status","channel","delivery_type","delivery_by","tracking_code","ship_city","product_name","product_size","color","material","bonus_granted","quantity","price","subtotal"
62,"2025-05-23","Shipped - Delivered","Online Store","Standard","Sul Envios","SNOMB9","Tubarão","Bota Monty Black","40","Vermelho","Couro Sintético",False,1,"382.24","382.24"
63,"2025-05-01","Shipped - Delivered","Online Store","Standard","PediuChegou","2NGO1VK","Porto Velho","Rasteira Jazz","43","Ciano","Camurça",False,2,"160.54","321.08"
64,"2024-10-23","Shipped - Delivered","Online Store","Express","LoggiX","JNKB6HI","Belém","Rasteira Lua Cheia","41","Ciano","Couro liso",False,1,"179.63","179.63"
65,"2025-07-05","Shipped - Delivered","Affiliate Programs","Standard","Correios","L16FLTC","Florianópolis","Tênis Fluent Morning","38","Vermelho","Camurça",False,1,"177.79","177.79"
66,"2024-11-09","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","DN6E03N","Porto Alegre","Tênis Fluent Dawn","40","Branco","Camurça",False,2,"431.61","863.22"
67,"2025-04-27","Shipped - Delivered","Online Store","Express","Correios","NM8NSTH","Tubarão","Rasteira Chocolate","39","Vermelho","Camurça",False,1,"436.97","436.97"
68,"2025-01-02","Cancelled","Online Store","Standard","PediuChegou","RMXR8HV","Boa Vista","Bota Monty Black","43","Amarelo","Camurça",True,1,"491.32","491.32"
69,"2025-03-02","Cancelled","B2B","Express","Correios","QSMT1UU","São Paulo","Loafer Anoitecer","39","Branco","Camurça",True,14,"481.13","6735.82"
70,"2024-11-09","Shipped - Delivered","Affiliate Programs","Express","Sul Envios","HF4U0YS","São Paulo","Rasteira Lua Cheia","38","Branco","Camurça",False,2,"170.36","340.72"
71,"2025-02-03","Shipped","Affiliate Programs","Standard","Correios","L79EYIC","Rio de Janeiro","Rasteira Chocolate","39","Azul","Couro Sintético",True,1,"176.50","176.50"
72,"2025-03-26","Shipped - Delivered","Online Store","Express","Correios","L9ZW2JH","Florianópolis","Sapatilha Anoitecer","38","Azul","Couro liso",False,1,"407.32","407.32"
73,"2024-12-18","Shipped - Delivered","Online Store","Express","Correios","WV4NZ5W","Porto Alegre","Rasteira Lua Cheia","40","Branco","Couro liso",False,1,"317.82","317.82"
74,"2025-02-02","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","TS68OPH","Tubarão","Tênis Fluent Dawn","40","Azul","Camurça",False,1,"392.25","392.25"
75,"2025-04-14","Shipped","Online Store","Standard","PediuChegou","XH9U4I5","Manaus","Tênis Fluent Dawn","41","Ciano","Camurça",True,1,"309.16","309.16"
76,"2024-12-11","Cancelled","B2B","Express","LoggiX","KC36OR1","Palmas","Bota Beea Inverno","41","Amarelo","Camurça",True,12,"194.04","2328.48"
77,"2024-12-06","Shipped - Delivered","Affiliate Programs","Standard","Correios","LQEORC5","Porto Alegre","Rasteira Chocolate","39","Azul","Couro Sintético",False,1,"174.42","174.42"
78,"2024-12-14","Shipped","Affiliate Programs","Standard","Correios","1D1GQB3","Tubarão","Tênis Souza C.","40","Branco","Couro liso",True,1,"276.33","276.33"
79,"2024-12-21","Shipped - Delivered","B2B","Standard","Correios","HJ1EN0S","São Paulo","Bota Monty Black","38","Azul","Couro Sintético",False,6,"474.40","2846.40"
80,"2025-09-01","Cancelled","Online Store","Express","PediuChegou","6F8OU9H","Porto Velho","Rasteira Chocolate","41","Ciano","Couro liso",True,2,"186.54","373.08"
81,"2025-06-17","Shipped - Delivered","B2B","Standard","Sul Envios","HROFSHS","Porto Alegre","Loafer Clarice","38","Vermelho","Couro liso",False,6,"419.43","2516.58"
82,"2024-11-20","Shipped","Affiliate Programs","Express","Sul Envios","I79O1L0","Rio de Janeiro","Loafer Clarice","38","Azul","Camurça",True,1,"359.03","359.03"
83,"2025-04-26","Shipped - Delivered","Affiliate Programs","Express","PediuChegou","1VV7JLZ","Boa Vista","Rasteira Jazz","43","Amarelo","Camurça",False,1,"279.63","279.63"
84,"2025-02-04","Shipped","Affiliate Programs","Express","LoggiX","5VGHORR","Porto Velho","Rasteira Chocolate","41","Cinza","Couro liso",True,1,"314.78","314.78"
85,"2024-11-11","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","XYQR4CF","Porto Alegre","Bota Beea Inverno","39","Azul","Couro liso",False,2,"348.81","697.62"
86,"2025-03-28","Shipped - Delivered","Affiliate Programs","Standard","PediuChegou","1VAH4R","Boa Vista","Sapatilha Alexia","43","Ciano","Couro liso",False,2,"340.20","680.40"
87,"2025-03-06","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","YB8TIMP","Tubarão","Bota Monty Black","38","Branco","Camurça",False,2,"393.41","786.82"
88,"2025-02-09","Shipped - Delivered","B2B","Standard","LoggiX","HGV01QI","Belém","Tênis Souza C.","43","Cinza","Couro liso",False,1,"227.96","227.96"
89,"2024-11-08","Shipped - Delivered","Affiliate Programs","Standard","LoggiX","MBJDWTD","Macapá","Tênis Souza C.","42","Amarelo","Couro liso",False,2,"283.37","566.74"
90,"2025-05-26","Shipped - Delivered","Affiliate Programs","Standard","Correios","HFLN4VR","Tubarão","Sapatilha Anoitecer","40","Branco","Couro liso",False,1,"174.50","174.50"
91,"2025-08-29","Shipped","B2B","Express","Correios","GA1B8W","Porto Alegre","Rasteira Lua Cheia","38","Branco","Camurça",True,3,"461.74","1385.22"
92,"2024-11-30","Shipped - Delivered","Online Store","Express","Sul Envios","J1E28Q","São Paulo","Rasteira Jazz","40","Azul","Couro liso",False,1,"257.23","257.23"
93,"2025-09-23","Shipped - Delivered","Affiliate Programs","Express","LoggiX","P5PXTR","Boa Vista","Rasteira Jazz","42","Cinza","Camurça",False,2,"412.35","824.70"
94,"2025-10-11","Shipped - Delivered","Affiliate Programs","Express","Sul Envios","VJ63FND","Florianópolis","Bota Chocolate","39","Branco","Camurça",False,1,"271.92","271.92"
95,"2025-07-27","Shipped - Delivered","Affiliate Programs","Express","Sul Envios","DRI2I9B","Porto Alegre","Sapatilha Anoitecer","40","Vermelho","Couro Sintético",False,1,"178.74","178.74"
96,"2025-01-04","Shipped - Delivered","B2B","Express","LoggiX","MB3JINH","Palmas","Loafer Clarice","43","Ciano","Couro liso",False,15,"161.81","2427.15"
97,"2025-08-18","Shipped - Delivered","Affiliate Programs","Express","Correios","ZT894DK","Florianópolis","Tênis Souza C.","39","Branco","Couro liso",False,2,"457.46","914.92"
98,"2024-12-02","Shipped - Delivered","Online Store","Express","Correios","YQA2JCI","Rio de Janeiro","Bota Chocolate","40","Branco","Couro Sintético",False,1,"365.12","365.12"
99,"2024-12-10","Shipped - Delivered","B2B","Express","PediuChegou","1ERRUKJ","Macapá","Rasteira Lua Cheia","43","Ciano","Camurça",False,9,"301.54","2713.86"
100,"2025-09-03","Shipped - Delivered","Online Store","Express","LoggiX","ASPGJGC","Boa Vista","Bota Beea Inverno","41","Ciano","Camurça",False,2,"391.80","783.60"
101,"2025-02-22","Shipped - Delivered","Online Store","Express","Correios","EWQZ9FT","Porto Alegre","Loafer Anoitecer","39","Branco","Couro liso",False,2,"379.11","758.22"
102,"2025-01-06","Shipped - Delivered","Affiliate Programs","Standard","LoggiX","53H1PB8","Porto Velho","Bota Beea Inverno","42","Amarelo","Couro liso",False,1,"472.83","472.83"
103,"2025-07-19","Shipped - Delivered","B2B","Standard","Sul Envios","9IW6DYA","Porto Alegre","Loafer Clarice","40","Vermelho","Couro liso",False,11,"283.33","3116.63"
104,"2025-02-10","Shipped","Affiliate Programs","Express","Correios","JYK6GLH","São Paulo","Bota Chocolate","40","Vermelho","Couro liso",True,1,"214.97","214.97"
105,"2025-05-29","Shipped","Online Store","Express","Sul Envios","D1M8OYV","Florianópolis","Tênis Souza C.","38","Vermelho","Couro liso",True,2,"249.94","499.88"
106,"2025-01-24","Shipped - Delivered","Affiliate Programs","Standard","LoggiX","KT7HBVZ","Belém","Rasteira Jazz","42","Cinza","Couro liso",False,1,"300.35","300.35"
107,"2025-01-28","Shipped","Affiliate Programs","Standard","Correios","LNQAFV","Florianópolis","Loafer Clarice","40","Azul","Couro Sintético",True,2,"297.91","595.82"
108,"2025-03-23","Shipped - Delivered","Affiliate Programs","Express","LoggiX","M9I0CRH","Porto Velho","Rasteira Chocolate","41","Ciano","Couro Sintético",False,2,"402.46","804.92"
109,"2025-09-22","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","GLSHHSI","São Paulo","Bota Monty Black","38","Branco","Couro liso",False,1,"406.81","406.81"
110,"2025-04-18","Shipped - Delivered","Affiliate Programs","Express","Correios","IMQ3YJQ","Tubarão","Loafer Clarice","39","Branco","Couro Sintético",False,2,"167.84","335.68"
111,"2025-01-04","Shipped - Delivered","Online Store","Standard","Sul Envios","4NKTBXW","Porto Alegre","Tênis Souza C.","39","Vermelho","Couro Sintético",False,2,"361.22","722.44"
112,"2024-11-27","Shipped - Delivered","Affiliate Programs","Standard","LoggiX","KDVVV77","Porto Velho","Bota Beea Inverno","41","Cinza","Camurça",False,2,"462.77","925.54"
113,"2025-08-01","Shipped - Delivered","Online Store","Standard","Sul Envios","WPUROFS","São Paulo","Tênis Fluent Dawn","40","Azul","Couro liso",False,2,"276.27","552.54"
114,"2025-04-05","Shipped - Delivered","Online Store","Express","Correios","ELB1BBD","Rio de Janeiro","Sapatilha Anoitecer","39","Vermelho","Camurça",False,2,"226.40","452.80"
115,"2025-08-10","Shipped - Delivered","Online Store","Express","Correios","DDIBT02","São Paulo","Sapatilha Alexia","40","Vermelho","Couro liso",False,2,"459.79","919.58"
116,"2025-02-21","Shipped - Delivered","B2B","Standard","Sul Envios","FUTDFD7","São Paulo","Sapatilha Anoitecer","40","Azul","Couro Sintético",False,9,"423.08","3807.72"
117,"2025-01-27","Shipped - Delivered","B2B","Standard","Correios","UHZW4PU","Florianópolis","Loafer Anoitecer","40","Vermelho","Camurça",False,13,"335.36","4359.68"
118,"2025-09-22","Shipped - Delivered","Affiliate Programs","Standard","LoggiX","0D23T5W","Porto Velho","Bota Chocolate","42","Cinza","Camurça",False,1,"355.77","355.77"
119,"2024-12-09","Shipped - Delivered","Online Store","Express","LoggiX","PIV3HHJ","Manaus","Bota Monty Black","43","Amarelo","Couro Sintético",False,2,"237.53","475.06"
120,"2024-11-01","Shipped - Delivered","Affiliate Programs","Express","Sul Envios","5E8N59E","São Paulo","Rasteira Chocolate","38","Vermelho","Couro liso",False,1,"459.38","459.38"
121,"2024-10-23","Shipped - Delivered","Online Store","Express","Correios","TJHZMQ9","Rio de Janeiro","Bota Beea Inverno","40","Vermelho","Couro Sintético",False,2,"292.43","584.86"
122,"2025-09-14","Cancelled","Affiliate Programs","Express","Sul Envios","SXLKQX0","São Paulo","Tênis Fluent Morning","39","Branco","Couro liso",True,2,"251.36","502.72"
123,"2025-01-10","Shipped - Delivered","Affiliate Programs","Express","Sul Envios","LBM3RHS","São Paulo","Sapatilha Alexia","39","Branco","Couro liso",False,2,"337.33","674.66"
124,"2025-01-26","Shipped - Delivered","Online Store","Standard","Sul Envios","3L4R9HU","Florianópolis","Sapatilha Alexia","39","Azul","Camurça",False,1,"442.43","442.43"
125,"2025-08-15","Shipped","Online Store","Express","PediuChegou","XLYT4YM","Macapá","Bota Monty Black","43","Amarelo","Camurça",True,1,"471.55","471.55"
126,"2025-03-16","Cancelled","Affiliate Programs","Express","Correios","TSIWAO5","Porto Alegre","Bota Beea Inverno","38","Branco","Camurça",True,2,"497.59","995.18"
127,"2025-09-20","Shipped - Delivered","Online Store","Express","Sul Envios","P76SX19","Porto Alegre","Rasteira Jazz","38","Azul","Camurça",False,2,"320.46","640.92"
128,"2025-03-22","Shipped - Delivered","Online Store","Express","PediuChegou","M7IBB35","Porto Velho","Bota Monty Black","41","Ciano","Couro liso",False,1,"476.53","476.53"
129,"2025-08-26","Shipped - Delivered","Online Store","Standard","Sul Envios","FQ6I228","São Paulo","Tênis Fluent Dawn","40","Branco","Couro liso",False,1,"443.79","443.79"
130,"2024-12-03","Shipped - Delivered","Affiliate Programs","Express","Sul Envios","9AMV8FF","Florianópolis","Sapatilha Alexia","39","Azul","Couro liso",False,1,"173.57","173.57"
131,"2024-12-27","Shipped - Delivered","Affiliate Programs","Standard","PediuChegou","BFDPDIM","Boa Vista","Rasteira Lua Cheia","43","Ciano","Couro liso",False,1,"374.02","374.02"
132,"2025-03-08","Shipped - Delivered","Online Store","Express","Sul Envios","M65HOHK","Florianópolis","Rasteira Lua Cheia","39","Vermelho","Camurça",False,2,"237.64","475.28"
133,"2025-04-09","Shipped - Delivered","Online Store","Express","Sul Envios","T104837","Rio de Janeiro","Tênis Souza C.","39","Branco","Camurça",False,1,"168.05","168.05"
134,"2024-10-27","Shipped - Delivered","Affiliate Programs","Standard","Correios","MFXHBDP","Porto Alegre","Bota Chocolate","38","Azul","Couro Sintético",False,1,"175.89","175.89"
135,"2025-04-22","Shipped - Delivered","Affiliate Programs","Express","PediuChegou","PLJ9T7V","Manaus","Sapatilha Anoitecer","42","Cinza","Camurça",False,2,"499.08","998.16"
136,"2025-10-13","Shipped - Delivered","Affiliate Programs","Express","LoggiX","BDUKB6G","Manaus","Tênis Souza C.","43","Amarelo","Couro liso",False,2,"440.24","880.48"
137,"2025-08-03","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","38HTSQS","São Paulo","Loafer Anoitecer","39","Vermelho","Camurça",False,1,"429.78","429.78"
138,"2025-08-29","Shipped - Delivered","Affiliate Programs","Standard","Correios","2M3J4EZ","Florianópolis","Rasteira Jazz","40","Azul","Couro Sintético",False,1,"336.92","336.92"
139,"2025-06-11","Cancelled","Online Store","Standard","Sul Envios","UFZGWD1","Tubarão","Tênis Fluent Dawn","38","Azul","Camurça",True,1,"399.88","399.88"
140,"2025-04-01","Shipped - Delivered","Online Store","Express","Correios","WO07NAB","Rio de Janeiro","Tênis Fluent Dawn","40","Azul","Couro liso",False,2,"380.90","761.80"
141,"2025-05-20","Shipped - Delivered","Online Store","Standard","Correios","H3SP6JL","Rio de Janeiro","Sapatilha Anoitecer","38","Branco","Couro liso",False,2,"339.43","678.86"
142,"2024-10-23","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","49LMR8G","Florianópolis","Rasteira Jazz","40","Branco","Couro liso",False,2,"256.36","512.72"
143,"2025-07-01","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","C0RCL32","São Paulo","Sapatilha Alexia","40","Azul","Couro Sintético",False,1,"454.35","454.35"
144,"2025-04-07","Shipped - Delivered","B2B","Express","Correios","TERE6UF","São Paulo","Rasteira Lua Cheia","40","Vermelho","Camurça",False,4,"476.52","1906.08"
145,"2024-12-08","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","XS93I5C","Florianópolis","Tênis Fluent Morning","38","Vermelho","Couro liso",False,1,"494.65","494.65"
146,"2024-11-03","Shipped - Delivered","Online Store","Standard","Sul Envios","STAWN21","São Paulo","Bota Beea Inverno","40","Azul","Couro Sintético",False,2,"223.51","447.02"
147,"2025-08-06","Shipped","Online Store","Express","LoggiX","CLOEYNV","Palmas","Rasteira Jazz","42","Cinza","Camurça",True,1,"230.20","230.20"
148,"2025-07-24","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","9HX6G4D","Florianópolis","Tênis Souza C.","39","Vermelho","Couro liso",False,1,"357.24","357.24"
149,"2025-03-19","Shipped - Delivered","B2B","Standard","Correios","KB1V032","São Paulo","Bota Chocolate","40","Azul","Couro Sintético",False,15,"215.44","3231.60"
150,"2025-04-07","Shipped - Delivered","Online Store","Standard","Sul Envios","B97RLJS","Florianópolis","Sapatilha Anoitecer","40","Branco","Couro liso",False,1,"174.18","174.18"
151,"2025-09-30","Shipped - Delivered","Affiliate Programs","Standard","Correios","NS3ZB8D","Rio de Janeiro","Bota Monty Black","38","Branco","Couro Sintético",False,1,"336.22","336.22"
152,"2024-12-01","Shipped - Delivered","Online Store","Standard","Correios","I2P1Z4C","Florianópolis","Bota Beea Inverno","40","Azul","Camurça",False,1,"353.74","353.74"
153,"2025-03-09","Shipped - Delivered","Online Store","Express","PediuChegou","1TZE0SB","Boa Vista","Rasteira Lua Cheia","42","Cinza","Camurça",False,2,"382.06","764.12"
154,"2025-09-08","Shipped - Delivered","Affiliate Programs","Express","PediuChegou","HRDVPXK","Boa Vista","Rasteira Lua Cheia","41","Cinza","Camurça",False,2,"213.39","426.78"
155,"2025-09-23","Shipped - Delivered","Online Store","Express","PediuChegou","DL55NAE","Palmas","Tênis Souza C.","41","Ciano","Couro Sintético",False,2,"343.21","686.42"
156,"2025-01-29","Shipped - Delivered","Affiliate Programs","Standard","Sul Envios","EWTZCE","Porto Alegre","Rasteira Chocolate","38","Vermelho","Couro liso",False,1,"328.51","328.51"
157,"2025-08-19","Shipped - Delivered","Affiliate Programs","Express","Sul Envios","H8W2N3C","Porto Alegre","Rasteira Chocolate","38","Azul","Camurça",False,2,"162.62","325.24"
158,"2025-08-14","Cancelled","B2B","Standard","Sul Envios","FYO12XZ","Porto Alegre","Bota Monty Black","38","Branco","Camurça",True,2,"211.67","423.34"
